Image,Algorithm,Strategy,Colour space,PSNR,SSIM,CIEDE2000,S-CIELAB,LPIPS,DreamSim
blue-gradient,Floyd-Steinberg,Nearest-colour,RGB,11.4392939587,0.0393644889826,19.2343404839,14.7792710089,0.683990716934,0.218912005424
blue-gradient,Floyd-Steinberg,Nearest-colour,CIELAB,12.1742891148,0.0354647887848,18.3809778606,11.8910520808,0.620380878448,0.191704809666
blue-gradient,Floyd-Steinberg,Nearest-colour,CIEXYY,12.2487264209,0.0697041491985,17.7616871617,13.0691267156,0.660872220993,0.227565765381
blue-gradient,Floyd-Steinberg,Weight-driven,RGB,16.8282900728,0.204892843767,12.3962176591,11.6197572197,0.652568995953,0.499280035496
blue-gradient,Floyd-Steinberg,Weight-driven,CIELAB,16.8282900728,0.204892843767,12.3962176591,11.6197572197,0.652568995953,0.499536693096
blue-gradient,Floyd-Steinberg,Weight-driven,CIEXYY,16.8282905215,0.204892877993,12.3962168937,11.6197567794,0.652569055557,0.499981999397
blue-gradient,Floyd-Steinberg,Weighted-nearest (α=0.5),RGB,16.8018892886,0.204890414557,12.405748549,11.5786558353,0.651961743832,0.488710701466
blue-gradient,Floyd-Steinberg,Weighted-nearest (α=0.5),CIELAB,16.801240454,0.204680177731,12.4074011862,11.5758999702,0.650083482265,0.495661914349
blue-gradient,Floyd-Steinberg,Weighted-nearest (α=0.5),CIEXYY,16.8255905175,0.205015949065,12.3923533497,11.5903308818,0.652691543102,0.493805766106
blue-gradient,Floyd-Steinberg,Softmax (α=0.5),RGB,11.6782523838,0.0583998801023,17.4144313419,14.7901014327,0.739005565643,0.326910197735
blue-gradient,Floyd-Steinberg,Softmax (α=0.5),CIELAB,12.1876306773,0.0362103454473,18.3604454836,11.8920826246,0.614981770515,0.192235767841
blue-gradient,Floyd-Steinberg,Softmax (α=0.5),CIEXYY,16.3659310484,0.198214086678,12.4016757517,10.7683784818,0.693951427937,0.444905877113
blue-gradient,Floyd-Steinberg,Error-scaled (scale),RGB,16.4579094016,0.157918928274,12.3938863694,7.04103869494,0.450295954943,0.149220168591
