Algorithm,Strategy,Colour space,PSNR,SSIM,CIEDE2000,S-CIELAB,LPIPS,DreamSim
Floyd-Steinberg,Nearest-colour,RGB,11.439293958686891,0.039364488982641804,19.23434048393697,14.77927100887988,0.6839907169342041,0.2189120054244995
Floyd-Steinberg,Nearest-colour,CIELAB,12.174289114811017,0.035464788784829414,18.380977860565977,11.89105208079866,0.6203808784484863,0.19170480966567993
Floyd-Steinberg,Nearest-colour,CIEXYY,12.248726420862102,0.06970414919845741,17.76168716165793,13.069126715641783,0.660872220993042,0.22756576538085938
Floyd-Steinberg,Weight-driven,RGB,16.828290072777143,0.20489284376747693,12.3962176590514,11.619757219675556,0.6525689959526062,0.49928003549575806
Floyd-Steinberg,Weight-driven,CIELAB,16.828290072777147,0.20489284376748626,12.396217659051393,11.61975721967555,0.6525689959526062,0.4995366930961609
Floyd-Steinberg,Weight-driven,CIEXYY,16.828290521450082,0.20489287799254394,12.396216893746843,11.619756779386107,0.652569055557251,0.49998199939727783
Floyd-Steinberg,Weighted-nearest (α=0.5),RGB,16.80188928863728,0.20489041455689272,12.405748549032229,11.578655835325616,0.6519617438316345,0.4887107014656067
Floyd-Steinberg,Weighted-nearest (α=0.5),CIELAB,16.80124045398657,0.20468017773108024,12.407401186181856,11.575899970172692,0.6500834822654724,0.4956619143486023
Floyd-Steinberg,Weighted-nearest (α=0.5),CIEXYY,16.825590517522286,0.20501594906495613,12.392353349661246,11.590330881766016,0.6526915431022644,0.49380576610565186
Floyd-Steinberg,Softmax (α=0.5),RGB,11.678252383838778,0.058399880102339964,17.414431341872834,14.790101432677526,0.7390055656433105,0.32691019773483276
Floyd-Steinberg,Softmax (α=0.5),CIELAB,12.187630677331258,0.03621034544730755,18.36044548361319,11.892082624581477,0.6149817705154419,0.1922357678413391
Floyd-Steinberg,Softmax (α=0.5),CIEXYY,16.365931048438874,0.1982140866781746,12.401675751697613,10.768378481803628,0.693951427936554,0.4449058771133423
Floyd-Steinberg,Error-scaled (scale),RGB,16.45790940158228,0.15791892827446644,12.393886369388534,7.041038694943324,0.45029595494270325,0.14922016859054565
Floyd-Steinberg,Error-scaled (scale),CIELAB,15.652822402640247,0.1136043386477434,13.325892609871778,8.736925712396674,0.5104030966758728,0.1771012544631958
Floyd-Steinberg,Error-scaled (scale),CIEXYY,13.984619468595366,0.17239257700212351,15.095513028881657,13.585801513800769,0.6672347784042358,0.2247104048728943
Floyd-Steinberg,Error-scaled (weighted_target),RGB,11.54601983732537,0.05017079471496164,19.03895796695311,14.857518172723871,0.6820308566093445,0.2313145399093628
Floyd-Steinberg,Error-scaled (weighted_target),CIELAB,12.228119570096975,0.04160362763158592,18.291325558650623,11.842924390283034,0.6043353080749512,0.20867282152175903
Floyd-Steinberg,Error-scaled (weighted_target),CIEXYY,12.309094327990543,0.08146080543922901,17.660000222377793,13.105184623631613,0.6661263108253479,0.23818302154541016
Floyd-Steinberg,Error-scaled (confidence),RGB,15.306899286657913,0.11258973000556588,13.706453946789205,6.609166120175256,0.4425118565559387,0.09430122375488281
Floyd-Steinberg,Error-scaled (confidence),CIELAB,14.077682320567828,0.07521828793055045,15.325672121202587,7.559944495105354,0.5396566987037659,0.14467918872833252
Floyd-Steinberg,Error-scaled (confidence),CIEXYY,12.879748321521369,0.08513043085123334,16.568847871488835,12.668193035647494,0.5974615812301636,0.17895710468292236
Jarvis-Judice-Ninke,Nearest-colour,RGB,11.551025520667498,0.052703883447501675,19.01907548631847,14.819175106110405,0.7480698227882385,0.22921472787857056
Jarvis-Judice-Ninke,Nearest-colour,CIELAB,12.229747946968414,0.04356346321374425,18.258385764676227,11.878311655343666,0.6912426948547363,0.20815598964691162
Jarvis-Judice-Ninke,Nearest-colour,CIEXYY,12.306571201381564,0.0818233864468091,17.659069354747004,13.030113453922246,0.7344391942024231,0.24500995874404907
Jarvis-Judice-Ninke,Weight-driven,RGB,16.828290072777143,0.20489284376747693,12.3962176590514,11.619757219675556,0.6525689959526062,0.49928003549575806
Jarvis-Judice-Ninke,Weight-driven,CIELAB,16.828290072777147,0.20489284376748626,12.396217659051393,11.61975721967555,0.6525689959526062,0.4995366930961609
Jarvis-Judice-Ninke,Weight-driven,CIEXYY,16.828290521450082,0.20489287799254394,12.396216893746843,11.619756779386107,0.652569055557251,0.49998199939727783
Jarvis-Judice-Ninke,Weighted-nearest (α=0.5),RGB,16.79148421001896,0.20466850589961536,12.40660918869168,11.535616678109566,0.6519137620925903,0.4897891879081726
Jarvis-Judice-Ninke,Weighted-nearest (α=0.5),CIELAB,16.79102057152099,0.2045301533161159,12.407574873076188,11.541970730392315,0.6511669754981995,0.49154388904571533
Jarvis-Judice-Ninke,Weighted-nearest (α=0.5),CIEXYY,16.83154728345508,0.20495216780160583,12.38620701296069,11.566785028651283,0.6535322666168213,0.4916009306907654
Jarvis-Judice-Ninke,Softmax (α=0.5),RGB,11.77060809482688,0.06687032732027663,17.25665548460274,14.711524613714495,0.7682317495346069,0.34041380882263184
Jarvis-Judice-Ninke,Softmax (α=0.5),CIELAB,12.242733409622012,0.04436132054598756,18.239528711794673,11.87610493443861,0.691244900226593,0.20188581943511963
Jarvis-Judice-Ninke,Softmax (α=0.5),CIEXYY,16.334909664559955,0.19351483763381347,12.407854497242251,10.632902833329428,0.6878256797790527,0.44824206829071045
Jarvis-Judice-Ninke,Error-scaled (scale),RGB,16.67299918583869,0.17082188763477527,12.176472472440391,7.219326954876588,0.5431326627731323,0.15963274240493774
Jarvis-Judice-Ninke,Error-scaled (scale),CIELAB,15.909325838964278,0.12136408179181302,13.05608452301552,9.083421793440984,0.5651548504829407,0.16154062747955322
Jarvis-Judice-Ninke,Error-scaled (scale),CIEXYY,14.294360498150734,0.18623848015012387,14.788353840450712,13.666518103710597,0.7047083973884583,0.22192198038101196
Jarvis-Judice-Ninke,Error-scaled (weighted_target),RGB,11.728403169669113,0.06917227221128269,18.680251907039974,14.980424204577933,0.7551792860031128,0.24151253700256348
Jarvis-Judice-Ninke,Error-scaled (weighted_target),CIELAB,12.324047110718613,0.0537652438159946,18.10247202803987,11.745789764504316,0.6838989853858948,0.21730875968933105
