Algorithm,Strategy,Colour space,PSNR,SSIM,CIEDE2000,S-CIELAB,LPIPS,DreamSim
Floyd-Steinberg,Nearest-colour,RGB,12.913581379885738,0.0724417844051561,13.508697044376019,14.664543565766344,1.0372930765151978,0.03821063041687012
Floyd-Steinberg,Nearest-colour,CIELAB,12.029759885813009,0.06430060847501168,13.479701094999255,15.62096039392369,1.0997415781021118,0.034880101680755615
Floyd-Steinberg,Nearest-colour,CIEXYY,12.540630355260532,0.1194202188198515,16.59563676515459,17.82679477929497,1.001190423965454,0.20936250686645508
Floyd-Steinberg,Weight-driven,RGB,18.93628278481826,0.7870918725254277,6.8270534433122005,6.676737139455828,0.08506763726472855,0.06846791505813599
Floyd-Steinberg,Weight-driven,CIELAB,18.93628278481827,0.7870918725251449,6.827053443312196,6.67673713945582,0.08506763726472855,0.06504374742507935
Floyd-Steinberg,Weight-driven,CIEXYY,18.936282709856588,0.7870918212560912,6.827053430623939,6.676736521401773,0.08506763726472855,0.06634080410003662
Floyd-Steinberg,Weighted-nearest (α=0.5),RGB,15.600763136210563,0.46718807280775726,8.331067402275448,6.138668162061923,0.46914419531822205,0.07935398817062378
Floyd-Steinberg,Weighted-nearest (α=0.5),CIELAB,18.942965021168185,0.7872465149145417,6.824045154740618,6.70127094993966,0.08500397950410843,0.06562864780426025
Floyd-Steinberg,Weighted-nearest (α=0.5),CIEXYY,18.939031658498426,0.7872132366350374,6.826099806964996,6.689865031279644,0.08510012179613113,0.06614440679550171
Floyd-Steinberg,Softmax (α=0.5),RGB,12.164214710520735,0.06760628340598322,13.40590025147257,14.903825041377829,1.0387667417526245,0.03680378198623657
Floyd-Steinberg,Softmax (α=0.5),CIELAB,12.051318297460952,0.06444219529748539,13.47181911197079,15.589380114251348,1.105144739151001,0.03454166650772095
Floyd-Steinberg,Softmax (α=0.5),CIEXYY,19.087640680782247,0.7866710122830831,6.909124894310713,6.706572138993565,0.09123501926660538,0.06623774766921997
Floyd-Steinberg,Error-scaled (scale),RGB,19.31639533096489,0.7817532098193447,7.035008277894612,6.041262821880606,0.11643553525209427,0.054849207401275635
Floyd-Steinberg,Error-scaled (scale),CIELAB,18.62672426066127,0.7255886649182494,7.135835347246507,6.089206422535943,0.1390371322631836,0.04120814800262451
Floyd-Steinberg,Error-scaled (scale),CIEXYY,17.1526291050796,0.6854184589877095,8.634227139266406,5.564817253180977,0.40016090869903564,0.12819665670394897
Floyd-Steinberg,Error-scaled (weighted_target),RGB,13.233503178624435,0.08246746086952965,13.303314729701674,14.695785445211216,1.004873275756836,0.04740428924560547
Floyd-Steinberg,Error-scaled (weighted_target),CIELAB,12.10780088535153,0.07351587236340656,13.293397708711606,15.642057314018553,1.0830107927322388,0.03725898265838623
Floyd-Steinberg,Error-scaled (weighted_target),CIEXYY,12.670413814670592,0.12517969822274516,16.49561185737067,17.88801299209339,0.9820654988288879,0.20874136686325073
Floyd-Steinberg,Error-scaled (confidence),RGB,17.299604430882,0.6921063721982398,8.430252101669616,4.813999526500469,0.3916558623313904,0.0681074857711792
Floyd-Steinberg,Error-scaled (confidence),CIELAB,15.118675108563925,0.6755427598559415,8.959392428057582,10.197764663973869,0.4548444151878357,0.07835811376571655
