Algorithm,Strategy,Colour space,PSNR,SSIM,CIEDE2000,S-CIELAB,LPIPS,DreamSim
Floyd-Steinberg,Nearest-colour,RGB,13.704676434211986,0.35276198575003676,24.391871847077784,8.039880666814188,0.6414622068405151,0.005049586296081543
Floyd-Steinberg,Nearest-colour,CIELAB,12.548513059826119,0.29972916723125015,24.025320181281778,8.79243142915524,0.7928757667541504,0.009619474411010742
Floyd-Steinberg,Nearest-colour,CIEXYY,13.748792718902976,0.3501458682019161,24.53036724480039,8.02674115503009,0.6553474068641663,0.07339298725128174
Floyd-Steinberg,Weight-driven,RGB,11.996840301844504,0.4009553375834452,22.868806908729873,14.195906950215745,0.4734656810760498,0.30685001611709595
Floyd-Steinberg,Weight-driven,CIELAB,11.996840301844504,0.40095533758344876,22.868806908729887,14.195906950215743,0.4734656810760498,0.30695265531539917
Floyd-Steinberg,Weight-driven,CIEXYY,11.996840533809646,0.40095536550789407,22.86880771714968,14.195906549379215,0.4734656810760498,0.30613386631011963
Floyd-Steinberg,Weighted-nearest (α=0.5),RGB,11.861457672998043,0.3992960821876081,23.170437207155867,13.944205350360086,0.5201621055603027,0.3071773648262024
Floyd-Steinberg,Weighted-nearest (α=0.5),CIELAB,11.927541168404243,0.3995446371516647,23.073025279126337,13.988188089136237,0.5091303586959839,0.29889577627182007
Floyd-Steinberg,Weighted-nearest (α=0.5),CIEXYY,12.029829851941114,0.40161392257987655,22.82320854685814,14.009593238043458,0.47304487228393555,0.3097112774848938
Floyd-Steinberg,Softmax (α=0.5),RGB,12.352248755620636,0.32711045891043605,24.88820451472724,9.78962724896818,0.7672633528709412,0.1368207335472107
Floyd-Steinberg,Softmax (α=0.5),CIELAB,12.543808962330719,0.29992272396611785,24.02092916738287,8.810678862906533,0.7901483774185181,0.011223316192626953
Floyd-Steinberg,Softmax (α=0.5),CIEXYY,13.310009268911374,0.3872088582346751,23.154123983473937,7.312332978793035,0.6729230880737305,0.4214516878128052
Floyd-Steinberg,Error-scaled (scale),RGB,14.392938416726944,0.4000961451826486,23.35013482566216,7.391971199240435,0.5662797093391418,0.09274345636367798
Floyd-Steinberg,Error-scaled (scale),CIELAB,13.171879860462738,0.36092771940958773,22.437460604749017,8.647481199630032,0.633659839630127,0.03879457712173462
Floyd-Steinberg,Error-scaled (scale),CIEXYY,14.162807048309789,0.38542227872492,23.846706397341315,8.27724819877251,0.5940320491790771,0.19982022047042847
Floyd-Steinberg,Error-scaled (weighted_target),RGB,14.210241858873907,0.3988060284988895,23.855755335946263,7.962979435774859,0.6481738686561584,0.01756840944290161
Floyd-Steinberg,Error-scaled (weighted_target),CIELAB,12.929416793267146,0.3400733367021294,23.11127144144063,8.86775527591209,0.7182002663612366,0.011069536209106445
Floyd-Steinberg,Error-scaled (weighted_target),CIEXYY,14.060069668267186,0.3836399489484921,24.054448321201196,7.956148116804472,0.6539026498794556,0.10254740715026855
Floyd-Steinberg,Error-scaled (confidence),RGB,13.963677249023617,0.3701930338113695,24.017406760390504,7.786467612561493,0.6013743877410889,0.026463568210601807
Floyd-Steinberg,Error-scaled (confidence),CIELAB,12.798179412143892,0.32799977738481423,23.355501249052878,8.716866130058929,0.7327175140380859,0.01966756582260132
Floyd-Steinberg,Error-scaled (confidence),CIEXYY,13.899968428421243,0.3640935136680216,24.326445432469743,7.888258309294661,0.6316226124763489,0.12845635414123535
Jarvis-Judice-Ninke,Nearest-colour,RGB,14.286597646713604,0.408496981150815,23.710230310270738,7.8557769017244246,0.7682047486305237,0.017513155937194824
Jarvis-Judice-Ninke,Nearest-colour,CIELAB,12.977384478351864,0.349346125962087,22.85092625579382,8.862301745140057,0.8155254125595093,0.011665105819702148
Jarvis-Judice-Ninke,Nearest-colour,CIEXYY,14.135250862052471,0.3931454051852635,23.924578134590764,8.42161657092962,0.7200210094451904,0.09875035285949707
Jarvis-Judice-Ninke,Weight-driven,RGB,11.996840301844504,0.4009553375834452,22.868806908729873,14.195906950215745,0.4734656810760498,0.30685001611709595
Jarvis-Judice-Ninke,Weight-driven,CIELAB,11.996840301844504,0.40095533758344876,22.868806908729887,14.195906950215743,0.4734656810760498,0.30695265531539917
Jarvis-Judice-Ninke,Weight-driven,CIEXYY,11.996840533809646,0.40095536550789407,22.86880771714968,14.195906549379215,0.4734656810760498,0.30613386631011963
Jarvis-Judice-Ninke,Weighted-nearest (α=0.5),RGB,11.904157036758974,0.4065334167789734,23.108154905840877,13.732020551179353,0.5367967486381531,0.30424124002456665
Jarvis-Judice-Ninke,Weighted-nearest (α=0.5),CIELAB,11.959802145786686,0.40702055905076473,23.00280243245502,13.957505296215222,0.5418267250061035,0.2979614734649658
Jarvis-Judice-Ninke,Weighted-nearest (α=0.5),CIEXYY,12.036154187251476,0.40201425967849574,22.81367590722526,13.966309131717393,0.47374898195266724,0.3103463053703308
Jarvis-Judice-Ninke,Softmax (α=0.5),RGB,12.751644024174858,0.3792447586394321,24.022733442130846,9.856464540180083,0.8107690215110779,0.17907929420471191
Jarvis-Judice-Ninke,Softmax (α=0.5),CIELAB,12.971790951601074,0.34945998429676717,22.851991062144577,8.869485242237308,0.8215944766998291,0.011794984340667725
Jarvis-Judice-Ninke,Softmax (α=0.5),CIEXYY,13.676514845030566,0.4191013782247793,22.623518937655664,7.623672634191947,0.650549054145813,0.41531676054000854
Jarvis-Judice-Ninke,Error-scaled (scale),RGB,15.007483661437973,0.4544910135959166,22.633467753460838,7.273151790047548,0.6811849474906921,0.1232609748840332
Jarvis-Judice-Ninke,Error-scaled (scale),CIELAB,13.635163351117654,0.4077931483432435,21.271853112254806,8.50741056595631,0.6672760248184204,0.05424708127975464
Jarvis-Judice-Ninke,Error-scaled (scale),CIEXYY,14.536465074744985,0.42368191842083713,23.185194711365465,8.444851930806466,0.6523422002792358,0.22216486930847168
Jarvis-Judice-Ninke,Error-scaled (weighted_target),RGB,14.716802901980433,0.44619122806368344,23.337952373829623,7.8148008163548575,0.692279577255249,0.03944897651672363
Jarvis-Judice-Ninke,Error-scaled (weighted_target),CIELAB,13.311574107397517,0.386639446878475,22.160934735704796,8.707866584786482,0.6950365304946899,0.01640242338180542
Jarvis-Judice-Ninke,Error-scaled (weighted_target),CIEXYY,14.358996761257547,0.4176853174034194,23.583761302814874,8.059811546187332,0.673337996006012,0.1495649814605713
Jarvis-Judice-Ninke,Error-scaled (confidence),RGB,14.581905914230786,0.4267329208272526,23.28318918217615,7.587636128094838,0.7236629128456116,0.05147010087966919
Jarvis-Judice-Ninke,Error-scaled (confidence),CIELAB,13.264040313526879,0.3789428617274772,22.13075630106279,8.612093670075938,0.7539188265800476,0.025329113006591797
Jarvis-Judice-Ninke,Error-scaled (confidence),CIEXYY,14.30023894790798,0.4063798562869915,23.666593520064,8.233765978756562,0.6908562779426575,0.16055375337600708
Stucki,Nearest-colour,RGB,14.203892179943185,0.39984823933880076,23.818372004091454,7.879345365224252,0.6853154301643372,0.014913082122802734
Stucki,Nearest-colour,CIELAB,12.912088740576744,0.3410988806346986,23.04075110721284,8.88160547925393,0.7652789354324341,0.011545121669769287
Stucki,Nearest-colour,CIEXYY,14.079102203537255,0.3864522949209109,24.03979030472572,8.398143821124872,0.6640874147415161,0.09217989444732666
Stucki,Weight-driven,RGB,11.996840301844504,0.4009553375834452,22.868806908729873,14.195906950215745,0.4734656810760498,0.30685001611709595
