Algorithm,Strategy,Colour space,PSNR,SSIM,CIEDE2000,S-CIELAB,LPIPS,DreamSim
Floyd-Steinberg,Nearest-colour,RGB,11.75498314236113,0.3727941181709952,22.653678709653867,12.10967281762566,0.7883509397506714,0.0122528076171875
Floyd-Steinberg,Nearest-colour,CIELAB,11.041734612745927,0.38655024228284357,22.279754961489445,11.542624218127042,0.8152002096176147,0.023410558700561523
Floyd-Steinberg,Nearest-colour,CIEXYY,8.340004211999688,0.22040598061483216,33.18316528784258,24.817227156013896,0.9488359093666077,0.11059039831161499
Floyd-Steinberg,Weight-driven,RGB,12.090545922862377,0.49042524819173333,20.622892303068184,25.26887424396203,0.3322417736053467,0.05696225166320801
Floyd-Steinberg,Weight-driven,CIELAB,12.090545922862377,0.4904252481917835,20.622892303068188,25.26887424396204,0.3322417736053467,0.05706632137298584
Floyd-Steinberg,Weight-driven,CIEXYY,12.090545926774233,0.49042540675632457,20.62289261520563,25.268874365248653,0.3322417438030243,0.05706632137298584
Floyd-Steinberg,Weighted-nearest (α=0.5),RGB,12.090342624236856,0.49043735482933154,20.624077981926575,25.271227927303087,0.33215755224227905,0.05688369274139404
Floyd-Steinberg,Weighted-nearest (α=0.5),CIELAB,12.090444517003782,0.49044855136239357,20.62400763638889,25.27141397157762,0.33218494057655334,0.056998372077941895
Floyd-Steinberg,Weighted-nearest (α=0.5),CIEXYY,12.090451959929254,0.49044829796340356,20.623887794378252,25.271691925018633,0.33217477798461914,0.05698484182357788
Floyd-Steinberg,Softmax (α=0.5),RGB,11.990819923877982,0.47104697369652,20.74446716907458,25.033632210689344,0.3539023995399475,0.052188217639923096
Floyd-Steinberg,Softmax (α=0.5),CIELAB,11.040661648891932,0.3866846421601571,22.279799677830677,11.547759634455604,0.8218492865562439,0.023873984813690186
Floyd-Steinberg,Softmax (α=0.5),CIEXYY,12.025121923016755,0.482122848720457,20.613240399274442,24.680946068398242,0.33797216415405273,0.05358231067657471
Floyd-Steinberg,Error-scaled (scale),RGB,12.282602153033768,0.4893133229938515,20.775115458682293,14.251800783276598,0.5158939361572266,0.033095598220825195
Floyd-Steinberg,Error-scaled (scale),CIELAB,11.94532912696614,0.47211924536930755,20.46256622465991,23.864474196697817,0.3123874068260193,0.047518014907836914
Floyd-Steinberg,Error-scaled (scale),CIEXYY,10.567863261869938,0.47117244710329736,25.095297033585254,20.29792074329563,0.7872250080108643,0.03897964954376221
Floyd-Steinberg,Error-scaled (weighted_target),RGB,11.794652148900838,0.3873172704061083,22.563821830017,12.080365781775052,0.7678645849227905,0.017833471298217773
Floyd-Steinberg,Error-scaled (weighted_target),CIELAB,11.054240021747399,0.40017462505532464,22.243598430625845,11.565771461262267,0.8064069151878357,0.030548691749572754
Floyd-Steinberg,Error-scaled (weighted_target),CIEXYY,8.365106202393743,0.23069826376094701,33.09753319750765,24.811438072187563,0.9243168830871582,0.11808252334594727
Floyd-Steinberg,Error-scaled (confidence),RGB,12.269090389385449,0.4891134126265831,20.76982145695103,14.120722490350582,0.525673508644104,0.033477187156677246
Floyd-Steinberg,Error-scaled (confidence),CIELAB,11.946804793894492,0.47228051998564413,20.467859961608436,23.86967747389552,0.31820762157440186,0.047673940658569336
Floyd-Steinberg,Error-scaled (confidence),CIEXYY,10.466024294321521,0.4297180807935554,25.39505715630006,20.396634443904837,0.8101195693016052,0.041383206844329834
Jarvis-Judice-Ninke,Nearest-colour,RGB,11.790423556447786,0.3806132977835562,22.573703403178843,12.113058556679583,0.8606885671615601,0.011819064617156982
Jarvis-Judice-Ninke,Nearest-colour,CIELAB,11.049099790145805,0.39412178818223725,22.24248420875526,11.59524702185593,0.8887535929679871,0.025068700313568115
Jarvis-Judice-Ninke,Nearest-colour,CIEXYY,8.425268632294173,0.2304103239467231,32.79744115843343,24.30939122887699,1.0017549991607666,0.11537933349609375
Jarvis-Judice-Ninke,Weight-driven,RGB,12.090545922862377,0.49042524819173333,20.622892303068184,25.26887424396203,0.3322417736053467,0.05696225166320801
Jarvis-Judice-Ninke,Weight-driven,CIELAB,12.090545922862377,0.4904252481917835,20.622892303068188,25.26887424396204,0.3322417736053467,0.05706632137298584
Jarvis-Judice-Ninke,Weight-driven,CIEXYY,12.090545926774233,0.49042540675632457,20.62289261520563,25.268874365248653,0.3322417438030243,0.05706632137298584
Jarvis-Judice-Ninke,Weighted-nearest (α=0.5),RGB,12.09047698856869,0.4904598810332068,20.624886573385922,25.274231825812606,0.3321882486343384,0.056918978691101074
Jarvis-Judice-Ninke,Weighted-nearest (α=0.5),CIELAB,12.090379335853127,0.4904861448969735,20.62582155468872,25.275506757677476,0.33218905329704285,0.05694937705993652
Jarvis-Judice-Ninke,Weighted-nearest (α=0.5),CIEXYY,12.090479118054187,0.49044996413209535,20.624228054197886,25.272459143229675,0.33215129375457764,0.05702102184295654
Jarvis-Judice-Ninke,Softmax (α=0.5),RGB,11.995692821485404,0.4718729111911492,20.74751175820365,25.04941993684901,0.35574695467948914,0.05255049467086792
Jarvis-Judice-Ninke,Softmax (α=0.5),CIELAB,11.050162259606633,0.3943786896407045,22.240818510115265,11.592247120347821,0.8884496688842773,0.02416926622390747
Jarvis-Judice-Ninke,Softmax (α=0.5),CIEXYY,12.027701173112826,0.4824452224121221,20.614489476120166,24.71063924371335,0.3503228724002838,0.05294299125671387
Jarvis-Judice-Ninke,Error-scaled (scale),RGB,12.215340121075847,0.48627627038857874,20.721614496711783,12.940237774580352,0.6524871587753296,0.03639787435531616
Jarvis-Judice-Ninke,Error-scaled (scale),CIELAB,11.968138959403475,0.47219628743218073,20.485031805888195,24.078130045079426,0.38701480627059937,0.04706871509552002
Jarvis-Judice-Ninke,Error-scaled (scale),CIEXYY,10.523125060825635,0.4742066388688224,25.30814904099149,21.0003805601455,0.8397360444068909,0.035440146923065186
Jarvis-Judice-Ninke,Error-scaled (weighted_target),RGB,11.824112049271431,0.40754583730540356,22.474700454488538,12.038212474557758,0.8344060182571411,0.016989469528198242
Jarvis-Judice-Ninke,Error-scaled (weighted_target),CIELAB,11.087552911094207,0.41072510937795265,22.190789398120668,11.609656975688342,0.870761513710022,0.030319809913635254
Jarvis-Judice-Ninke,Error-scaled (weighted_target),CIEXYY,8.4553812668044,0.24360309093918145,32.69140431863115,24.37272591799868,0.973595380783081,0.12153083086013794
Jarvis-Judice-Ninke,Error-scaled (confidence),RGB,12.182754245804215,0.48610557381353764,20.689203424442937,12.608273807827803,0.671965479850769,0.035637855529785156
Jarvis-Judice-Ninke,Error-scaled (confidence),CIELAB,11.961226669232696,0.47225762052504133,20.47875847577577,24.01155800956399,0.38835832476615906,0.04723072052001953
Jarvis-Judice-Ninke,Error-scaled (confidence),CIEXYY,10.442235377741401,0.4319547942921378,25.57395074585035,21.1273385203947,0.8395243883132935,0.038012564182281494
Stucki,Nearest-colour,RGB,11.786877920289829,0.3786914445535266,22.58212187538118,12.11122524440322,0.797285258769989,0.013313472270965576
Stucki,Nearest-colour,CIELAB,11.048310315370287,0.39296613390532026,22.24542576191664,11.589424630913228,0.8250587582588196,0.025422513484954834
Stucki,Nearest-colour,CIEXYY,8.405736141422578,0.22802939732683228,32.885365845884195,24.435683759844846,0.9407297372817993,0.11305391788482666
Stucki,Weight-driven,RGB,12.090545922862377,0.49042524819173333,20.622892303068184,25.26887424396203,0.3322417736053467,0.05696225166320801
Stucki,Weight-driven,CIELAB,12.090545922862377,0.4904252481917835,20.622892303068188,25.26887424396204,0.3322417736053467,0.05706632137298584
Stucki,Weight-driven,CIEXYY,12.090545926774233,0.49042540675632457,20.62289261520563,25.268874365248653,0.3322417438030243,0.05706632137298584
Stucki,Weighted-nearest (α=0.5),RGB,12.090440160248155,0.4904540487991544,20.624803618713337,25.273892278915984,0.33218321204185486,0.05691981315612793
Stucki,Weighted-nearest (α=0.5),CIELAB,12.090340051882277,0.4904783435176651,20.625596776784935,25.274834167338675,0.33219173550605774,0.05694103240966797
Stucki,Weighted-nearest (α=0.5),CIEXYY,12.090451828302982,0.4904473261216841,20.624161275909795,25.272194104253973,0.33216097950935364,0.057012081146240234
Stucki,Softmax (α=0.5),RGB,11.995283052273072,0.4718071122376344,20.744755902729906,25.044148058690627,0.3529506325721741,0.052377283573150635
Stucki,Softmax (α=0.5),CIELAB,11.048859176275407,0.3939095795687211,22.24363460985419,11.589443513554274,0.8271534442901611,0.02438431978225708
Stucki,Softmax (α=0.5),CIEXYY,12.026926953773579,0.4823487370450575,20.613896932776665,24.70150971442601,0.3415455222129822,0.05313998460769653
Stucki,Error-scaled (scale),RGB,12.213220972625018,0.4864340126511603,20.71916856747646,12.943572161240324,0.6645387411117554,0.03071296215057373
Stucki,Error-scaled (scale),CIELAB,11.966248193995616,0.47220882373336065,20.48366419153856,24.061804234911403,0.358878493309021,0.047107577323913574
Stucki,Error-scaled (scale),CIEXYY,10.52486042588659,0.4741569013150391,25.2917486034816,20.929165019122593,0.8043224215507507,0.03585624694824219
Stucki,Error-scaled (weighted_target),RGB,11.820698224399539,0.40434832639439783,22.484865872485805,12.040197913558558,0.772964596748352,0.018390655517578125
Stucki,Error-scaled (weighted_target),CIELAB,11.082906766440326,0.4076513359060741,22.197968386598443,11.605432706740007,0.8061160445213318,0.029867231845855713
