Algorithm,Strategy,Colour space,PSNR,SSIM,CIEDE2000,S-CIELAB,LPIPS,DreamSim
Floyd-Steinberg,Nearest-colour,RGB,13.182898164126994,0.11635113450826766,19.38573076271412,8.340217629813802,0.9580650329589844,0.07435190677642822
Floyd-Steinberg,Nearest-colour,CIELAB,12.740767219909749,0.11445162938900344,18.931084413670668,8.329309003923813,1.018357276916504,0.099556565284729
Floyd-Steinberg,Nearest-colour,CIEXYY,13.163925581806126,0.07727530750843993,21.370957942537437,12.505327220561293,1.0022956132888794,0.36740100383758545
Floyd-Steinberg,Weight-driven,RGB,13.561386839767875,0.20125088545642775,16.954007200689496,16.714195728945604,0.650568962097168,0.4926398992538452
Floyd-Steinberg,Weight-driven,CIELAB,13.561386839767875,0.20125088545644834,16.954007200689496,16.714195728945604,0.650568962097168,0.4926280975341797
Floyd-Steinberg,Weight-driven,CIEXYY,13.56138702108937,0.20125089032862856,16.954007343939182,16.71419537632505,0.650568962097168,0.4926212430000305
Floyd-Steinberg,Error-scaled (scale),RGB,15.800814076546725,0.19240509323324143,15.58242456407273,7.271382919479636,0.8129339218139648,0.1181497573852539
Floyd-Steinberg,Error-scaled (scale),CIELAB,14.775539058675468,0.14025434487465013,15.424927143577035,6.602913139464583,0.8302703499794006,0.15024268627166748
Floyd-Steinberg,Error-scaled (scale),CIEXYY,13.72121045338718,0.09666979080252969,20.449510576311383,11.412452695090362,0.9285150766372681,0.3528165817260742
Floyd-Steinberg,Error-scaled (weighted_target),RGB,13.53723476713778,0.1320185786660982,19.014457070028048,8.108582698573581,0.9382011890411377,0.09815609455108643
Floyd-Steinberg,Error-scaled (weighted_target),CIELAB,12.925232363983453,0.12468686202579203,18.565859570751584,8.37465591622343,0.9941056966781616,0.09875911474227905
Floyd-Steinberg,Error-scaled (weighted_target),CIEXYY,13.211372381503946,0.07959007178089302,21.35904559191849,12.583144245667603,0.98581463098526,0.3711264133453369
Floyd-Steinberg,Error-scaled (confidence),RGB,14.979214783873395,0.15758805284156807,16.828956641993194,6.829680323121035,0.866369903087616,0.08029055595397949
Floyd-Steinberg,Error-scaled (confidence),CIELAB,13.847517584609088,0.1249098709248342,16.767507950112854,6.7874240491137146,0.9294820427894592,0.11249065399169922
Floyd-Steinberg,Error-scaled (confidence),CIEXYY,13.467492607171161,0.07965011974504348,20.916842591490276,11.546727383911751,0.9748724699020386,0.334250271320343
Jarvis-Judice-Ninke,Nearest-colour,RGB,13.489371761340063,0.13274779018888094,19.021000841051936,8.10726200941319,1.037775993347168,0.10466581583023071
Jarvis-Judice-Ninke,Nearest-colour,CIELAB,12.925132766554384,0.12624584576571204,18.51471905159839,8.42218286398508,1.083562970161438,0.10516542196273804
Jarvis-Judice-Ninke,Nearest-colour,CIEXYY,13.224306322793414,0.08595305909122608,21.288043478180427,12.574290193534349,1.0509700775146484,0.3662916421890259
Jarvis-Judice-Ninke,Weight-driven,RGB,13.561386839767875,0.20125088545642775,16.954007200689496,16.714195728945604,0.650568962097168,0.4926398992538452
Jarvis-Judice-Ninke,Weight-driven,CIELAB,13.561386839767875,0.20125088545644834,16.954007200689496,16.714195728945604,0.650568962097168,0.4926280975341797
Jarvis-Judice-Ninke,Weight-driven,CIEXYY,13.56138702108937,0.20125089032862856,16.954007343939182,16.71419537632505,0.650568962097168,0.4926212430000305
Jarvis-Judice-Ninke,Error-scaled (scale),RGB,16.10067400370663,0.20843883759550078,15.193748662729988,7.5593074617264016,0.9236630201339722,0.14883875846862793
Jarvis-Judice-Ninke,Error-scaled (scale),CIELAB,15.093691406589896,0.15259044680389725,14.97432617926896,6.940949792888192,0.8981425166130066,0.1708032488822937
Jarvis-Judice-Ninke,Error-scaled (scale),CIEXYY,13.838261305766377,0.10876127077078351,20.21025335410822,11.585970786454931,0.9872400760650635,0.36650580167770386
