Algorithm,Strategy,Colour space,PSNR,SSIM,CIEDE2000,S-CIELAB,LPIPS,DreamSim
Floyd-Steinberg,Nearest-colour,RGB,11.828521543448092,0.3653736044288676,15.182048095556981,9.288956475560285,0.5845933556556702,0.014187097549438477
Floyd-Steinberg,Nearest-colour,CIELAB,11.405213919387824,0.3516288078059678,14.26831901676781,8.212966488261014,0.6235190033912659,0.058490753173828125
Floyd-Steinberg,Nearest-colour,CIEXYY,10.925762587191908,0.3507232362088128,16.560550641843914,9.808737832029383,0.664872944355011,0.16576337814331055
Floyd-Steinberg,Weight-driven,RGB,13.538773392198395,0.7044523599130968,11.283654156427204,12.377667752224163,0.4415799379348755,0.24118727445602417
Floyd-Steinberg,Weight-driven,CIELAB,13.538773392198403,0.7044523599131695,11.28365415642721,12.377667752224156,0.4415799379348755,0.2413502335548401
Floyd-Steinberg,Weight-driven,CIEXYY,13.53877392204252,0.7044524313418717,11.283654359577165,12.377667317665102,0.4415799379348755,0.24110448360443115
Floyd-Steinberg,Error-scaled (scale),RGB,13.279385931014465,0.504770818313331,11.708434615004538,8.153023886330672,0.39651942253112793,0.05343502759933472
Floyd-Steinberg,Error-scaled (scale),CIELAB,12.878663120930778,0.5046162004467204,11.587142559519279,9.163476520232068,0.45124444365501404,0.07778811454772949
Floyd-Steinberg,Error-scaled (scale),CIEXYY,12.341630666727692,0.45494093409459735,12.56250935725403,6.77043545230272,0.5205788612365723,0.14177322387695312
Floyd-Steinberg,Error-scaled (weighted_target),RGB,11.90641018291207,0.36895156456899186,15.13549665130761,9.152194321724252,0.574661374092102,0.016903579235076904
Floyd-Steinberg,Error-scaled (weighted_target),CIELAB,11.396057435070233,0.3529363064311239,14.169309746840284,8.365274146727366,0.6180025935173035,0.06334388256072998
Floyd-Steinberg,Error-scaled (weighted_target),CIEXYY,10.948354897976815,0.3541106388981672,16.47464531006341,9.631376260304322,0.6610720753669739,0.15915131568908691
Floyd-Steinberg,Error-scaled (confidence),RGB,12.753503715482156,0.4604802813474327,12.979772563305067,8.589432438269654,0.44732993841171265,0.023695707321166992
Floyd-Steinberg,Error-scaled (confidence),CIELAB,12.280961854317642,0.4574456755496908,12.537076757281392,8.856711223028059,0.48979419469833374,0.05155515670776367
Floyd-Steinberg,Error-scaled (confidence),CIEXYY,11.808605870625211,0.387547300631629,14.037586114950592,8.265957442391521,0.5666122436523438,0.12905371189117432
Jarvis-Judice-Ninke,Nearest-colour,RGB,11.907932716511773,0.3657786098582461,15.132845930653371,9.162262490121917,0.6173229813575745,0.014536261558532715
Jarvis-Judice-Ninke,Nearest-colour,CIELAB,11.398445430185395,0.35056661798954636,14.095212135939153,8.389621550413853,0.643515408039093,0.05593371391296387
Jarvis-Judice-Ninke,Nearest-colour,CIEXYY,10.941576146753532,0.35479254854510783,16.488391342054058,9.765512668103717,0.6882007718086243,0.16897320747375488
Jarvis-Judice-Ninke,Weight-driven,RGB,13.538773392198395,0.7044523599130968,11.283654156427204,12.377667752224163,0.4415799379348755,0.24118727445602417
Jarvis-Judice-Ninke,Weight-driven,CIELAB,13.538773392198403,0.7044523599131695,11.28365415642721,12.377667752224156,0.4415799379348755,0.2413502335548401
Jarvis-Judice-Ninke,Weight-driven,CIEXYY,13.53877392204252,0.7044524313418717,11.283654359577165,12.377667317665102,0.4415799379348755,0.24110448360443115
Jarvis-Judice-Ninke,Error-scaled (scale),RGB,13.4085877344069,0.5107544371622312,11.442182386396775,8.260223471191667,0.45449137687683105,0.05676436424255371
Jarvis-Judice-Ninke,Error-scaled (scale),CIELAB,13.032392647090898,0.5126094187282414,11.360644830157085,9.346704656035666,0.4886815845966339,0.08471614122390747
Jarvis-Judice-Ninke,Error-scaled (scale),CIEXYY,12.503736333874613,0.4655069789418469,12.193330062192068,6.534107550613774,0.5443360209465027,0.14093852043151855
Jarvis-Judice-Ninke,Error-scaled (weighted_target),RGB,11.956396922196067,0.3715076708800167,15.065282194272333,9.136951229576706,0.607326090335846,0.020956754684448242
Jarvis-Judice-Ninke,Error-scaled (weighted_target),CIELAB,11.41616441655563,0.35409856244146526,14.014491690101472,8.472495677244426,0.6414617300033569,0.06523102521896362
Jarvis-Judice-Ninke,Error-scaled (weighted_target),CIEXYY,10.97403174689579,0.3602255779748236,16.354210339721586,9.345382409617,0.6754719614982605,0.15711665153503418
Jarvis-Judice-Ninke,Error-scaled (confidence),RGB,12.89429684042953,0.4666373719328838,12.712585668112881,8.47168216400635,0.49947410821914673,0.029219508171081543
Jarvis-Judice-Ninke,Error-scaled (confidence),CIELAB,12.40999992372661,0.46377448105608865,12.289477030636869,9.008066140730888,0.5208538770675659,0.057834506034851074
Jarvis-Judice-Ninke,Error-scaled (confidence),CIEXYY,11.94161170929046,0.3956459463839712,13.602114916953639,7.761998173088125,0.5872858762741089,0.1293589472770691
Stucki,Nearest-colour,RGB,11.901899823033112,0.3655747029422251,15.140771791780011,9.162588768167867,0.5831749439239502,0.014034748077392578
Stucki,Nearest-colour,CIELAB,11.397904421736811,0.3504155381984257,14.136551781406842,8.359619646150916,0.6204166412353516,0.059296369552612305
Stucki,Nearest-colour,CIEXYY,10.938369770520906,0.35380620847446753,16.50080212183878,9.76131652161103,0.6635494232177734,0.16923540830612183
Stucki,Weight-driven,RGB,13.538773392198395,0.7044523599130968,11.283654156427204,12.377667752224163,0.4415799379348755,0.24118727445602417
Stucki,Weight-driven,CIELAB,13.538773392198403,0.7044523599131695,11.28365415642721,12.377667752224156,0.4415799379348755,0.2413502335548401
Stucki,Weight-driven,CIEXYY,13.53877392204252,0.7044524313418717,11.283654359577165,12.377667317665102,0.4415799379348755,0.24110448360443115
Stucki,Error-scaled (scale),RGB,13.393090628190352,0.5098282313749466,11.472140652317888,8.238137746544764,0.410136878490448,0.056197524070739746
Stucki,Error-scaled (scale),CIELAB,13.015376910338972,0.5117117661709878,11.383297319912078,9.320375349684324,0.4548189640045166,0.08365929126739502
Stucki,Error-scaled (scale),CIEXYY,12.484670273342013,0.46433721598175803,12.23232410705133,6.554210443619401,0.5213617086410522,0.14170479774475098
Stucki,Error-scaled (weighted_target),RGB,11.948712911006972,0.370879902954135,15.078322971832073,9.137931250604314,0.5739387273788452,0.020412683486938477
Stucki,Error-scaled (weighted_target),CIELAB,11.409495062508894,0.3532897102652079,14.036305262183106,8.46581932040991,0.6171610355377197,0.0635138750076294
Stucki,Error-scaled (weighted_target),CIEXYY,10.968367364383866,0.35891713999669045,16.37213507585156,9.351442496778974,0.6555935740470886,0.15739518404006958
Stucki,Error-scaled (confidence),RGB,12.880314727445443,0.46568014826811294,12.741201398883344,8.471672289575261,0.4531724154949188,0.026134192943572998
Stucki,Error-scaled (confidence),CIELAB,12.392567897972473,0.46272747255087926,12.316767216289781,8.98781001961162,0.483456552028656,0.056736648082733154
Stucki,Error-scaled (confidence),CIEXYY,11.92593586052882,0.39449039860303675,13.649663492753865,7.803298509821669,0.5575473308563232,0.12829285860061646
