Algorithm,Strategy,Colour space,PSNR,SSIM,CIEDE2000,S-CIELAB,LPIPS,DreamSim
Floyd-Steinberg,Nearest-colour,RGB,12.22079862974332,0.22986277282129233,25.10641491818224,9.50226983096975,0.6868374943733215,0.01236116886138916
Floyd-Steinberg,Nearest-colour,CIELAB,11.419464471656106,0.20752591590897598,22.3117070641489,9.910183079271702,0.8057339787483215,0.026895344257354736
Floyd-Steinberg,Nearest-colour,CIEXYY,11.809802849621644,0.17051178616288298,23.587849346993195,10.52603110137286,0.780243456363678,0.10310471057891846
Floyd-Steinberg,Weight-driven,RGB,12.489598986847865,0.3840283005331076,20.071552689224056,17.81013142720987,0.47485098242759705,0.2056577205657959
Floyd-Steinberg,Weight-driven,CIELAB,12.489598986847867,0.3840283005331706,20.071552689224056,17.81013142720988,0.47485098242759705,0.20560061931610107
Floyd-Steinberg,Weight-driven,CIEXYY,12.48959960328338,0.38402836418144326,20.071553427489757,17.810130770398526,0.47485101222991943,0.20565080642700195
Floyd-Steinberg,Weighted-nearest (α=0.5),RGB,12.48946949349871,0.38580128908742434,20.064205482451985,17.826637617015205,0.47232747077941895,0.2015036940574646
Floyd-Steinberg,Weighted-nearest (α=0.5),CIELAB,12.484327806533194,0.3838178463552229,20.05162505762176,17.627058133632463,0.4737018942832947,0.20469003915786743
Floyd-Steinberg,Weighted-nearest (α=0.5),CIEXYY,12.489645691325109,0.3833644310067414,20.052578796889403,17.71499365271673,0.4733123183250427,0.20688772201538086
Floyd-Steinberg,Softmax (α=0.5),RGB,11.200038050926588,0.23222102227861086,24.300495226679697,14.39815673475177,0.8006291389465332,0.023721754550933838
Floyd-Steinberg,Softmax (α=0.5),CIELAB,11.422777967898591,0.20778264226958706,22.30301382536081,9.911038813210412,0.7982562780380249,0.025351285934448242
Floyd-Steinberg,Softmax (α=0.5),CIEXYY,11.789356053764745,0.2548898974728138,22.582501222033283,9.369347970572969,0.6791238784790039,0.10351085662841797
Floyd-Steinberg,Error-scaled (scale),RGB,13.068264856832638,0.2906923034888003,22.120498870386918,8.631987927248385,0.5295129418373108,0.02147012948989868
Floyd-Steinberg,Error-scaled (scale),CIELAB,12.28754416587031,0.2704689928270223,19.6854119388142,8.686985312164653,0.632806122303009,0.03519845008850098
Floyd-Steinberg,Error-scaled (scale),CIEXYY,11.36943610355127,0.18340374218403344,23.98561775253977,12.312987767493293,0.790704071521759,0.11788982152938843
Floyd-Steinberg,Error-scaled (weighted_target),RGB,12.421108059526675,0.24595808082420598,24.731618152035868,9.599948044101165,0.6602555513381958,0.012656629085540771
Floyd-Steinberg,Error-scaled (weighted_target),CIELAB,11.673094311397122,0.22685215482042242,21.78983471874564,9.933292816451,0.7599132061004639,0.02947157621383667
Floyd-Steinberg,Error-scaled (weighted_target),CIEXYY,11.81836558289356,0.17541597855715793,23.54613165683455,10.64142014505602,0.780586838722229,0.11724972724914551
Floyd-Steinberg,Error-scaled (confidence),RGB,12.645085771489308,0.26529512664908,23.46335517548622,8.863800764331472,0.5972662568092346,0.014734745025634766
Floyd-Steinberg,Error-scaled (confidence),CIELAB,11.91418503057487,0.24846785055754686,20.727377059579613,8.9175754105666,0.7063536643981934,0.02354884147644043
Floyd-Steinberg,Error-scaled (confidence),CIEXYY,11.363185809118715,0.1715319002063235,24.20702662695742,12.230112613314537,0.824763298034668,0.11265814304351807
Jarvis-Judice-Ninke,Nearest-colour,RGB,12.449713896419496,0.24802583334141182,24.665430713918568,9.599606019317427,0.7708835005760193,0.013182103633880615
Jarvis-Judice-Ninke,Nearest-colour,CIELAB,11.715374449148017,0.22978798434244707,21.692114026417066,9.93865745562011,0.8533061742782593,0.027246713638305664
Jarvis-Judice-Ninke,Nearest-colour,CIEXYY,11.822446431136962,0.1728735477382902,23.473150957400147,10.620814886049462,0.8548036217689514,0.11582553386688232
Jarvis-Judice-Ninke,Weight-driven,RGB,12.489598986847865,0.3840283005331076,20.071552689224056,17.81013142720987,0.47485098242759705,0.2056577205657959
Jarvis-Judice-Ninke,Weight-driven,CIELAB,12.489598986847867,0.3840283005331706,20.071552689224056,17.81013142720988,0.47485098242759705,0.20560061931610107
Jarvis-Judice-Ninke,Weight-driven,CIEXYY,12.48959960328338,0.38402836418144326,20.071553427489757,17.810130770398526,0.47485101222991943,0.20565080642700195
