Algorithm,Strategy,Colour space,PSNR,SSIM,CIEDE2000,S-CIELAB,LPIPS,DreamSim
Stucki,Nearest-colour,RGB,10.548398791712048,0.05455854508895242,27.725095499555103,11.620290590169223,1.2111374139785767,0.02043229341506958
Stucki,Nearest-colour,CIELAB,8.618219998497985,0.025089639671677252,29.048115229586347,14.960857329038204,1.2835804224014282,0.023494958877563477
Stucki,Nearest-colour,CIEXYY,10.347074246027825,0.05036966012626958,28.650707307645554,14.757319546796106,0.8437091112136841,0.334930419921875
Stucki,Weight-driven,RGB,11.376957325566552,0.3569749756726421,21.355577893170068,20.871248229683935,0.662090539932251,0.6176567673683167
Stucki,Weight-driven,CIELAB,11.376957325566554,0.3569749756727525,21.35557789317007,20.871248229683935,0.662090539932251,0.6169371604919434
Stucki,Weight-driven,CIEXYY,11.37695792885446,0.3569750467891147,21.35557809617891,20.871247927130355,0.662090539932251,0.6170792579650879
Stucki,Error-scaled (scale),RGB,12.286214693317817,0.12481416876313695,24.40942105639804,12.97720547478026,1.0076870918273926,0.10315710306167603
Stucki,Error-scaled (scale),CIELAB,9.800405021910162,0.08414656072761474,25.21141843251815,15.167019385210143,1.1577390432357788,0.11410403251647949
Stucki,Error-scaled (scale),CIEXYY,10.696088535138218,0.14607486270674758,25.663104264777516,17.02513068869579,0.627021312713623,0.42462027072906494
Stucki,Error-scaled (weighted_target),RGB,10.60837599343184,0.058704323549930215,27.621883089443212,11.634516661832606,1.182241439819336,0.03388243913650513
Stucki,Error-scaled (weighted_target),CIELAB,8.62870085209254,0.02810799861612177,28.992796708852588,14.963998691972634,1.2694392204284668,0.030623316764831543
Stucki,Error-scaled (weighted_target),CIEXYY,10.353501896607131,0.048306739837475965,28.61748773810802,14.821008538351048,0.8276299238204956,0.3407363295555115
Stucki,Error-scaled (confidence),RGB,11.57739149642595,0.0741931088030506,25.60084308579607,10.894795970281358,1.121015191078186,0.062245965003967285
Stucki,Error-scaled (confidence),CIELAB,9.247029302745938,0.06684500315384186,26.751451278260472,14.433016184456433,1.2116942405700684,0.06662559509277344
Stucki,Error-scaled (confidence),CIEXYY,10.54090904556614,0.08445217139025242,27.140505981322097,15.497609392766092,0.7695658206939697,0.34571629762649536
Floyd-Steinberg,Nearest-colour,RGB,10.512701344965656,0.0523051254100518,27.782039640529565,11.651004657115337,1.1977105140686035,0.01575791835784912
Floyd-Steinberg,Nearest-colour,CIELAB,8.65144195987101,0.02379380835981948,29.082344730171066,14.834294846430895,1.284826636314392,0.025834202766418457
Floyd-Steinberg,Nearest-colour,CIEXYY,10.344739770986601,0.049795044765519,28.657078658488924,14.746721020109318,0.8492430448532104,0.33697444200515747
Floyd-Steinberg,Weight-driven,RGB,11.376957325566552,0.3569749756726421,21.355577893170068,20.871248229683935,0.662090539932251,0.6176567673683167
Floyd-Steinberg,Weight-driven,CIELAB,11.376957325566554,0.3569749756727525,21.35557789317007,20.871248229683935,0.662090539932251,0.6169371604919434
Floyd-Steinberg,Weight-driven,CIEXYY,11.37695792885446,0.3569750467891147,21.35557809617891,20.871247927130355,0.662090539932251,0.6170792579650879
Floyd-Steinberg,Error-scaled (scale),RGB,12.159162031057182,0.11966475461690816,24.775999292464583,12.9253072910034,0.9976338744163513,0.10073930025100708
Floyd-Steinberg,Error-scaled (scale),CIELAB,9.666851631338012,0.0819457232696713,25.62302314110338,15.230349114666238,1.133711338043213,0.10811483860015869
